sym,name,region_id,instrument_id,blp_symbol,blp_type,exchange_id,sector_id,subsector_id,tt_exchange,orderGenRegion_id,varsubsector_id,trading_start_time,trading_end_time
FFI,FTSE,EUROPE,FUT,Z,INDEX,LIFFE,EQUITY,EQUITY,NYSE_Liffe,EUROPE,EQUITY,03:00:00,11:30:00
FFI3,FTSE,EUROPE,FUT,Z,INDEX,LIFFE,EQUITY,EQUITY,NYSE_Liffe,EUROPE,EQUITY,03:00:00,11:30:00
FLG,GILTS,EUROPE,FUT,G,COMDTY,LIFFE,FI,FI_LM,NYSE_Liffe,EUROPE,FI,03:00:00,11:30:00
FSS,SHORT STERLING,EUROPE,FUT,L,COMDTY,LIFFE,FI,FI_SM,NYSE_Liffe,EUROPE,FI,02:30:00,13:00:00
FT,TAIEX,ASIA,FUT,FT,INDEX,TAIWAN,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,19:45:00,00:45:00
FV2,US 5Y,US,FUT,FV,COMDTY,CBT,FI,FI_LM,CME-H,US,FI,08:20:00,15:00:00
GC,GOLD,US,FUT,GC,COMDTY,COMEX,COMMODITY,MET_PREC,CME-H,US,METAL,08:20:00,13:30:00
HC,H SHARES,ASIA,FUT,HC,INDEX,HKFE,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,20:15:00,03:15:00
HG,COPPER_NY,US,FUT,HG,COMDTY,COMEX,COMMODITY,MET_INDS,CME-H,US,METAL,08:10:00,13:00:00
HKD,USD/HKD,WORLD,FX,USDHKD,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
HO,HEATING OIL,US,FUT,HO,COMDTY,NYMEX,COMMODITY,ENERGY,CME-H,US,ENERGY,09:00:00,14:30:00
HSI,HANG SENG,ASIA,FUT,HI,INDEX,HKFE,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,20:15:00,03:15:00
HU,NY UNLEADED GAZ,US,FUT,HU,COMDTY,NYMEX,COMMODITY,ENERGY,CME-H,US,ENERGY,09:00:00,14:30:00
